Array Size,10000,12000,14400,17280,20736,24883,29859,35830,42996,51595,61914,74296,89155,106986,128383,154059,184870
Times,4,3,3,4,4,4,20,24,31,32,21,12,14,17,23,26,32
Times,1,2,2,2,3,4,4,5,5,7,9,13,16,17,23,25,32
Times,1,1,2,3,3,3,4,4,6,7,9,11,14,17,22,27,32
Times,2,1,2,3,2,3,4,6,7,8,9,11,14,17,20,26,30
Times,2,1,1,2,3,4,4,5,7,7,9,12,15,17,21,25,31
Times,1,1,2,1,2,3,4,5,6,7,9,11,14,17,21,25,33
Times,2,3,3,3,4,5,18,25,29,35,20,11,14,16,22,25,31
Times,1,2,2,2,3,3,3,5,5,7,7,11,13,17,20,25,30
Times,1,2,2,2,2,3,4,5,6,7,9,11,13,16,19,24,31
Times,1,2,2,2,2,3,4,4,6,8,8,11,14,16,20,25,30
Times,1,2,2,2,3,3,4,4,6,7,9,10,14,17,20,24,30
Times,1,1,1,2,2,3,3,5,5,6,8,11,12,17,20,24,29
